cartodb_id,the_geom,field_1,centroid,lat,long,count,source_cartodb_id,source_field_1
2445,0101000020E61000008AFD4C5A447B52C0F7D33549625B4440,freidlin,POINT,40.71393695,-73.92604692,13,1,bk
2473,0101000020E6100000FF7FB5CDC17C52C0C768DB38FB5B4440,LePetiteNYC,POINT,40.71860419,-73.94932883,13,1,bk
2486,0101000020E6100000A7DDD8812D7B52C09A6A1CA06A594440,soiledblonde,POINT,40.69856645,-73.92465254,13,1,bk
2501,0101000020E610000081A247C6097952C04B66274978544440,fr0nda,POINT,40.65992083,-73.89122159,13,1,bk
2527,0101000020E6100000F5DCDF2CA77D52C08525DC33645B4440,victoriac303,POINT,40.71399544,-73.96332857,13,1,bk
2549,0101000020E6100000FCDD9E94C77B52C03CBD5296A15A4440,phloella,POINT,40.70805625,-73.93405643,13,1,bk
2557,0101000020E6100000B27B97F79D7C52C06D09AF134D5C4440,Maryellen,POINT,40.7211022,-73.94714155,13,1,bk
2561,0101000020E61000008F49905B5D7A52C02703179685594440,OfficialKhaleel,POINT,40.69938923,-73.9119481,13,1,bk
2586,0101000020E6100000BF4440AE227D52C025F72AE8AC5B4440,MaryEmilyOHara,POINT,40.7162142,-73.95524174,13,1,bk
2615,0101000020E6100000D51A947AA07A52C0200AC9767C594440,BrandonAD9,POINT,40.69911084,-73.91604485,13,1,bk
2705,0101000020E6100000FA3970945D7C52C077416DE90B5C4440,JoJo_Son,POINT,40.71911352,-73.94321166,12,1,bk
2707,0101000020E61000009248705D107D52C0D8644B5EB65C4440,jls738,POINT,40.72431544,-73.95412384,12,1,bk
2732,0101000020E6100000973278B1137D52C058B8175EEA5B4440,ChyllVibez,POINT,40.71808983,-73.95432698,12,1,bk
2796,0101000020E610000064D7CDF7197C52C0E20443A9FF5B4440,AdamHageb,POINT,40.71873966,-73.93908496,12,1,bk
2797,0101000020E6100000102085E3E07C52C0196DB83C945B4440,marzapproved,POINT,40.71546134,-73.95122612,12,1,bk
2809,0101000020E61000004F2687B2E47C52C0EA4C4EABF05B4440,jfurta_,POINT,40.71828214,-73.95145858,12,1,bk
2820,0101000020E6100000D146A62A4A7952C06407328ED3524440,KaylaAlana_,POINT,40.64708116,-73.89515177,12,1,bk
2839,0101000020E61000006A78486BAB7B52C093D2E0749A5A4440,thisis_peanut,POINT,40.70783864,-73.93233759,12,1,bk
2852,0101000020E61000008C005DEA167C52C0450257C38F5A4440,NathanHurstArt,POINT,40.7075123,-73.93889865,12,1,bk
2866,0101000020E6100000F51DD345107D52C08B9B43E7EF5B4440,EthanTheVegan,POINT,40.71825877,-73.95411821,12,1,bk
2901,0101000020E6100000651DE967C57D52C039A39C1ECA5B4440,mariebardi,POINT,40.7171057,-73.9651737,12,1,bk
2932,0101000020E6100000A852D415837A52C0CD79006A6E594440,swearronchanel,POINT,40.69868207,-73.91425081,12,1,bk
2944,0101000020E610000002FF4A9DF67952C01551D9D134554440,GinetteNYC,POINT,40.66567443,-73.90567715,12,1,bk
3003,0101000020E61000009AA9390E367A52C0290750DF74594440,xnakanaide,POINT,40.69887916,-73.90954929,11,1,bk
3015,0101000020E610000043C89A0D497A52C0B32E4524D0564440,Comegetjoey,POINT,40.67822698,-73.91070881,11,1,bk
3035,0101000020E61000005F02E06D587C52C028705FC5315A4440,alien_lover,POINT,40.70464389,-73.94289729,11,1,bk
3061,0101000020E61000002987A282BB7D52C0BC8D72D5615C4440,MaytavK,POINT,40.72173565,-73.96456972,11,1,bk
3099,0101000020E6100000D0CF1608697B52C04CE5ABECD45A4440,BlackBerry_Mama,POINT,40.70962294,-73.92828562,11,1,bk
3100,0101000020E61000003D27FF8BCE7C52C0C5B4677D675C4440,pasql,POINT,40.72190826,-73.95010662,11,1,bk
