,Unnamed: 0,UserID,Username,Tweeted_At,Tweet ID,Location,Geo,Place,Profile_Create_at,Retweeted_Count,Text,geometry,datetime
379939,466867,48875310.0,MrNaassir,Tue Feb 24 09:04:10 +0000 2015,570147158814535680,New Yark City.New York. U.S.A.,"{u'type': u'Point', u'coordinates': [40.69054839, -73.82375367]}","{u'full_name': u'Queens, NY', u'url': u'https://api.twitter.com/1.1/geo/id/00c39537733fa112.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'00c39537733fa112', u'name': u'Queens'}",Sat Jun 20 00:18:35 +0000 2009,0,@14Haq @mina_ysf @Gsazim @i_am_lisa_ @stgert @hahnsmith @harifaat @Arifaanderson @nabilasimply @0332U @Aliya313 http://t.co/ZzgwPVZQzt,POINT (40.69054839 -73.82375367),2015-02-24 09:04:10
379940,466868,48875310.0,MrNaassir,Tue Feb 24 09:03:57 +0000 2015,570147103722364928,New Yark City.New York. U.S.A.,"{u'type': u'Point', u'coordinates': [40.69054839, -73.82375367]}","{u'full_name': u'Queens, NY', u'url': u'https://api.twitter.com/1.1/geo/id/00c39537733fa112.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'00c39537733fa112', u'name': u'Queens'}",Sat Jun 20 00:18:35 +0000 2009,0,@14Haq @KhalidaTasneem @Gsazim @stgert @i_am_lisa_ @cjnapoet @Rosina54321 @charnushah @Z_A_Cheema @hidhussain http://t.co/8NtDOxHceL,POINT (40.69054839 -73.82375367),2015-02-24 09:03:57
379942,466870,48875310.0,MrNaassir,Tue Feb 24 09:03:42 +0000 2015,570147041663455233,New Yark City.New York. U.S.A.,"{u'type': u'Point', u'coordinates': [40.69061709, -73.82374474]}","{u'full_name': u'Queens, NY', u'url': u'https://api.twitter.com/1.1/geo/id/00c39537733fa112.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'00c39537733fa112', u'name': u'Queens'}",Sat Jun 20 00:18:35 +0000 2009,0,@14Haq @yasmeen_9 @ymeenai @Gsazim @NasimZehra @Shahidmasooddr @Razarumi @mhrLucky @FatimaAli52 @ItzKhushboo http://t.co/5RUTRM0f69,POINT (40.69061709 -73.82374474),2015-02-24 09:03:42
379944,466872,48875310.0,MrNaassir,Tue Feb 24 09:03:28 +0000 2015,570146983555567616,New Yark City.New York. U.S.A.,"{u'type': u'Point', u'coordinates': [40.69058955, -73.82372476]}","{u'full_name': u'Queens, NY', u'url': u'https://api.twitter.com/1.1/geo/id/00c39537733fa112.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'00c39537733fa112', u'name': u'Queens'}",Sat Jun 20 00:18:35 +0000 2009,0,@14Haq @yasmeen_9 @ymeenai @Gsazim @NasimZehra @Shahidmasooddr @Razarumi @mhrLucky @FatimaAli52 @ItzKhushboo http://t.co/Ve2BVF7atc,POINT (40.69058955 -73.82372476),2015-02-24 09:03:28
379947,466875,48875310.0,MrNaassir,Tue Feb 24 09:03:06 +0000 2015,570146893126361088,New Yark City.New York. U.S.A.,"{u'type': u'Point', u'coordinates': [40.69066072, -73.82378036]}","{u'full_name': u'Queens, NY', u'url': u'https://api.twitter.com/1.1/geo/id/00c39537733fa112.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'00c39537733fa112', u'name': u'Queens'}",Sat Jun 20 00:18:35 +0000 2009,0,@SRifaat @almohid @Leonor188 @angeles1marita @dermott_ann @roseflourish_13 @Domi52778 @FaticoniPiero http://t.co/xgQr9YqgxJ,POINT (40.69066072 -73.82378036),2015-02-24 09:03:06
379949,466877,48875310.0,MrNaassir,Tue Feb 24 09:02:49 +0000 2015,570146820430688256,New Yark City.New York. U.S.A.,"{u'type': u'Point', u'coordinates': [40.69066072, -73.82378036]}","{u'full_name': u'Queens, NY', u'url': u'https://api.twitter.com/1.1/geo/id/00c39537733fa112.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'00c39537733fa112', u'name': u'Queens'}",Sat Jun 20 00:18:35 +0000 2009,0,@SRifaat @Leonor188 @angeles1marita @dermott_ann @roseflourish_13 @Domi52778 @almohid @FaticoniPiero http://t.co/fDuQcHyD2F,POINT (40.69066072 -73.82378036),2015-02-24 09:02:49
379951,466879,48875310.0,MrNaassir,Tue Feb 24 09:02:40 +0000 2015,570146781591441408,New Yark City.New York. U.S.A.,"{u'type': u'Point', u'coordinates': [40.69066072, -73.82378036]}","{u'full_name': u'Queens, NY', u'url': u'https://api.twitter.com/1.1/geo/id/00c39537733fa112.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'00c39537733fa112', u'name': u'Queens'}",Sat Jun 20 00:18:35 +0000 2009,0,@SRifaat @Leonor188 @angeles1marita @dermott_ann @roseflourish_13 @Domi52778 @almohid @FaticoniPiero http://t.co/suMUrYZ5gn,POINT (40.69066072 -73.82378036),2015-02-24 09:02:40
379952,466880,48875310.0,MrNaassir,Tue Feb 24 09:02:20 +0000 2015,570146699492126720,New Yark City.New York. U.S.A.,"{u'type': u'Point', u'coordinates': [40.69066072, -73.82378036]}","{u'full_name': u'Queens, NY', u'url': u'https://api.twitter.com/1.1/geo/id/00c39537733fa112.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'00c39537733fa112', u'name': u'Queens'}",Sat Jun 20 00:18:35 +0000 2009,0,@SRifaat:@MrNaassir @Leonor188 @angeles1marita @dermott_ann @roseflourish_13 @Domi52778 @almohid @FaticoniPiero http://t.co/S6CAOAJgea,POINT (40.69066072 -73.82378036),2015-02-24 09:02:20
379956,466884,48875310.0,MrNaassir,Tue Feb 24 09:02:03 +0000 2015,570146627324936192,New Yark City.New York. U.S.A.,"{u'type': u'Point', u'coordinates': [40.6906494, -73.82385459]}","{u'full_name': u'Queens, NY', u'url': u'https://api.twitter.com/1.1/geo/id/00c39537733fa112.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'00c39537733fa112', u'name': u'Queens'}",Sat Jun 20 00:18:35 +0000 2009,0,"@SRifaat:
@Leonor188 Hola  @angeles1marita @dermott_ann @roseflourish_13 @Domi52778 @almohid@FaticoniPiero http://t.co/1vKIl7jnDF",POINT (40.6906494 -73.82385459),2015-02-24 09:02:03
379962,466890,48875310.0,MrNaassir,Tue Feb 24 09:01:20 +0000 2015,570146449339629568,New Yark City.New York. U.S.A.,"{u'type': u'Point', u'coordinates': [40.6906494, -73.82385459]}","{u'full_name': u'Queens, NY', u'url': u'https://api.twitter.com/1.1/geo/id/00c39537733fa112.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'00c39537733fa112', u'name': u'Queens'}",Sat Jun 20 00:18:35 +0000 2009,0,@SRifaat @Leonor188 @almohid @dermott_ann @roseflourish_13 @Domi52778 @FaticoniPiero @nesarey1 @julzsg59 http://t.co/oOxnUM8R4N,POINT (40.6906494 -73.82385459),2015-02-24 09:01:20
